No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
115,M143,S4_LL_FLG_TR1,0,2024-01-29T09:59:42.040683,Alarm,1
116,M144,S4_LL_FLG_TR2,0,2024-01-29T09:59:42.110946,Alarm,1
117,M145,S4_LL_FLG_TR3,0,2024-01-29T09:59:42.303362,Alarm,1
118,M146,S4_LL_FLG_TR4,0,2024-01-29T09:59:42.533899,Alarm,1
119,M80,S1_BOTTOM_CAP_MISSING_TR1,0,2024-01-29T09:59:42.771826,Alarm,1
120,M81,S3_SILICON_PRESENCE_MISSING_TR1,0,2024-01-29T09:59:43.021066,Alarm,1
121,M82,S5_COVER_PRESENCE_MISSING_TR1_,0,2024-01-29T09:59:43.266233,Alarm,1
122,M83,S8_HEIGHT_CHK_MISSING_TR1,0,2024-01-29T09:59:43.475993,Alarm,1
123,M84,S1_BOTTOM_CAP_MISSING_TR2,0,2024-01-29T09:59:43.540873,Alarm,1
124,M85,S3_SILICON_PRESENCE_MISSING_TR2,0,2024-01-29T09:59:43.751111,Alarm,1
125,M86,S5_COVER_PRESENCE_MISSING_TR2,0,2024-01-29T09:59:44.000979,Alarm,1
126,M87,S9_HEIGHT_CHK_MISSING_TR2,0,2024-01-29T09:59:44.236926,Alarm,1
127,M88,S1_BOTTOM_CAP_MISSING_TR3,0,2024-01-29T09:59:44.491010,Alarm,1
128,M89,S3_SILICON_PRESENCE_MISSING_TR3,0,2024-01-29T09:59:44.734949,Alarm,1
129,M90,S5_COVER_PRESENCE_MISSING_TR3,0,2024-01-29T09:59:44.984431,Alarm,1
130,M91,S8_HEIGHT_CHK_MISSING_TR3,0,2024-01-29T09:59:45.242912,Alarm,1
131,M92,S1_BOTTOM_CAP_MISSING_TR4,0,2024-01-29T09:59:45.491100,Alarm,1
132,M93,S3_SILICON_PRESENCE_MISSING_TR4,0,2024-01-29T09:59:45.703036,Alarm,1
133,M94,S5_COVER_PRESENCE_MISSING_TR4,0,2024-01-29T09:59:45.880840,Alarm,1
